MovieID,Name,Date_Added,Release_Year,Rating,Duration(minutes),Description
37,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"September 15, 2021",2006,TV-PG,95,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
38,Naruto the Movie: Ninja Clash in the Land of Snow,"September 15, 2021",2004,TV-PG,83,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
39,Nightbooks,"September 15, 2021",2021,TV-PG,103,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
40,Schumacher,"September 15, 2021",2021,TV-14,113,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
41,A StoryBots Space Adventure,"September 14, 2021",2021,TV-Y,13,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
42,King of Boys,"September 14, 2021",2018,TV-MA,182,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
43,You vs. Wild: Out Cold,"September 14, 2021",2021,TV-G,106,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
44,Little Singham - Black Shadow,"September 11, 2021",2021,TV-Y7,48,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
45,Tughlaq Durbar,"September 11, 2021",2020,TV-14,145,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
46,Tughlaq Durbar (Telugu),"September 11, 2021",2021,TV-14,145,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
47,Firedrake the Silver Dragon,"September 10, 2021",2021,TV-Y7,93,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
48,Kate,"September 10, 2021",2021,R,106,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
49,Omo Ghetto: the Saga,"September 10, 2021",2020,TV-MA,147,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
50,Prey,"September 10, 2021",2021,TV-MA,87,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
51,Blood Brothers: Malcolm X & Muhammad Ali,"September 9, 2021",2021,PG-13,96,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
52,Paradise Hills,"September 9, 2021",2019,TV-MA,95,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
53,The Women and the Murderer,"September 9, 2021",2021,TV-14,92,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
54,JJ+E,"September 8, 2021",2021,TV-MA,91,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
55,Show Dogs,"September 8, 2021",2018,PG,90,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
56,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"September 7, 2021",2018,TV-MA,97,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
57,Untold: Breaking Point,"September 7, 2021",2021,TV-MA,80,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
58,Shadow Parties,"September 6, 2021",2020,TV-MA,117,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
59,Angamaly Diaries,"September 5, 2021",2017,TV-14,128,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
60,A Champion Heart,"September 4, 2021",2018,G,90,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
61,Worth,"September 3, 2021",2021,PG-13,119,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
62,Afterlife of the Party,"September 2, 2021",2021,TV-PG,110,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
63,Anjaam,"September 2, 2021",1994,TV-14,143,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
64,Bright Star,"September 2, 2021",2009,PG,119,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
65,Dhanak,"September 2, 2021",2015,TV-PG,114,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
66,Final Account,"September 2, 2021",2021,PG-13,94,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
67,Gurgaon,"September 2, 2021",2017,TV-14,106,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
68,Here and There,"September 2, 2021",2020,TV-MA,99,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
69,In the Cut,"September 2, 2021",2003,R,118,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
70,Shikara,"September 2, 2021",2020,TV-14,115,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
71,A Cinderella Story,"September 1, 2021",2004,PG,95,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
72,Agatha Christie's Crooked House,"September 1, 2021",2017,PG-13,115,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
73,An Unfinished Life,"September 1, 2021",2005,PG-13,108,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
74,Barbie Big City Big Dreams,"September 1, 2021",2021,TV-Y,63,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
75,Blade Runner: The Final Cut,"September 1, 2021",1982,R,117,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
76,Chappie,"September 1, 2021",2015,R,121,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
77,Clear and Present Danger,"September 1, 2021",1994,PG-13,142,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
78,Cliffhanger,"September 1, 2021",1993,R,113,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
79,Cold Mountain,"September 1, 2021",2003,R,154,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
